typeName,slot
Medium Module Research II,R
Ammatar Navy Small Focused Beam Laser,H
Large Projectile Locus Coordinator I,R
Pithum A-Type Medium Shield Booster,M
Multiphasic Bolt Array I,L
Shield Boost Amplifier I,M
Caldari Navy Explosive Deflection Field,M
OLD Tengu Propulsion - Intercalated Nanofibers,S
Small Proton Smartbomb I,H
Parallel Enduring Target Painter,M
Selynne's Modified Reactor Control Unit,L
Entosis Link II,H
Caldari Navy Medium Shield Booster,M
Large Algid Energy Administrations Unit II,R
Core X-Type Large Armor Repairer,L
'Anguis' Ice Harvester Upgrade,L
QA Speed Limiter Module,L
Core B-Type Armor EM Hardener,L
Syndicate Reinforced Bulkheads,L
Raysere's Modified Power Diagnostic System,L
Large Signal Disruption Amplifier II,R
Large Shield Extender II,M
Shadow Serpentis Inertial Stabilizers,L
Gist A-Type Large Shield Booster,M
Medium Infectious Scoped Energy Neutralizer,H
Small Anti-Thermal Screen Reinforcer II,R
Capital Memetic Algorithm Bank I,R
Standup M-Set Blueprint Copy Accelerator I,R
Miner II,H
Capital Energy Nosferatu II,H
Protected Ladar Backup Cluster I,L
True Sansha Capital Remote Shield Booster,H
Imperial Navy Medium EMP Smartbomb,H
'Basic' Tracking Enhancer,L
'Pacifier' Large Remote Armor Repairer,H
'Abatis' 100mm Steel Plates,L
OLD Loki Engineering - Capacitor Regeneration Matrix,S
Dual 650mm Prototype Automatic Cannon,H
E500 Prototype Energy Vampire,H
Partial Weapon Navigation,M
Large Energy Metastasis Adjuster II,R
Vadari's Custom Gyrostabilizer,L
Mizuro's Modified Tracking Enhancer,L
'Radical' Damage Control,L
Limited Neutron Blaster I,H
Hakim's Modified 1200mm Artillery Cannon,H
Loki Offensive - Support Processor,S
OLD Legion Propulsion - Chassis Optimization,S
Tuvan's Modified Adaptive Nano Plating,L
Micro YF-12a Smartbomb,H
Capital Hybrid Metastasis Adjuster II,R
'Stalwart' Particle Field Magnifier,M
Capital Capacitor Control Circuit I,R
Kaikka's Modified Adaptive Invulnerability Field,M
'Prospector' EM Ward Amplifier,M
Ion Blaster Cannon II,H
OLD Proteus Engineering - Capacitor Regeneration Matrix,S
Incremental Gravimetric ECCM Scanning Array I,M
Small Bay Loading Accelerator II,R
Large Tractor Beam I,H
Estamel's Modified Explosive Deflection Amplifier,M
Medium Remote Shield Booster I,H
Chelm's Modified Explosive Plating,L
Small Targeting System Subcontroller II,R
Anode Mega Neutron Particle Cannon I,H
Small Perishable Capacitor Overcharge II,M
Corpii C-Type Small Energy Neutralizer,H
Estamel's Modified Thermal Dissipation Amplifier,M
Initiated Signal Distortion Amplifier I,L
Small Remote Shield Booster I,H
Standup L-Set Structure Manufacturing Efficiency I,R
Republic Fleet Shield Recharger,M
Limited 'Anointed' EM Ward Field,M
Tuvan's Modified Kinetic Plating,L
Supplemental Magnetometric ECCM Scanning Array I,M
Small EW Drone Range Augmentor I,R
Vizan's Modified Large EMP Smartbomb,H
Medium Algid Hybrid Administrations Unit II,R
Capital Hydraulic Bay Thrusters I,R
Small Anti-Kinetic Pump II,R
Thon's Modified Explosive Deflection Field,M
Pithum C-Type Medium Remote Shield Booster,H
Carbide Compact Dual 1000mm Railgun,H
Medium Ancillary Shield Booster,M
Dread Guristas Rapid Torpedo Launcher,H
Medium Shield Extender I,M
125mm Prototype Gauss Gun,H
Heavy Anode Particle Stream I,H
Large Hybrid Locus Coordinator II,R
Medium Core Defense Field Purger II,R
1600mm Steel Plates II,L
Dual 250mm 'Scout' Accelerator Cannon,H
Vizan's Modified Heavy Energy Neutralizer,H
Shaqil's Modified Energized Adaptive Nano Membrane,L
Capital Emission Scope Sharpener II,R
Medium Shield Booster I,M
C3S Convection Thermal Radiator,L
Core C-Type Armor Kinetic Hardener,L
Caldari Navy Rocket Launcher,H
Surplus Gravimetric Reserve Array,L
Standup M-Set Blueprint Copy Cost Optimization II,R
Unit P-343554's Modified Drone Navigation Computer,M
XL Cruise Missile Launcher I,H
Power Diagnostic System I,L
Dual 180mm Gallium Machine Gun,H
Ammatar Navy Small Armor Repairer,L
Core Probe Launcher II,H
Medium Projectile Burst Aerator II,R
OLD Tengu Propulsion - Fuel Catalyst,S
Domination Shield Boost Amplifier,M
Large S95a Scoped Remote Shield Booster,H
Basic Adaptive Nano Plating,L
Hakim's Modified Ballistic Control System,L
Kaikka's Modified Torpedo Launcher,H
'Daemon' Data Analyzer I,M
150mm Light Prototype Automatic Cannon,H
Large Projectile Locus Coordinator II,R
Quad Afocal Light Maser I,H
1200mm Artillery Cannon I,H
Large Transverse Bulkhead I,R
Small Emission Scope Sharpener II,R
1400mm Prototype Siege Cannon,H
Gistum A-Type Thermal Dissipation Amplifier,M
IFFA Compact Damage Control,L
QA ECM Burst,M
Beta Reactor Control: Capacitor Power Relay I,L
'Warhammer' Large EMP Smartbomb I,H
Radar Positional ECCM Sensor System I,M
Tuvan's Modified 500MN Microwarpdrive,M
Imperial Navy Omnidirectional Tracking Enhancer,L
Small Gravity Capacitor Upgrade II,R
Caldari Navy Kinetic Deflection Field,M
Armor Kinetic Hardener II,L
True Sansha Large EMP Smartbomb,H
EM Plating I,L
Small Low Friction Nozzle Joints I,R
Corpum B-Type Medium Remote Capacitor Transmitter,H
Estamel's Modified Ballistic Control System,L
Republic Fleet Gyrostabilizer,L
Structure Remote Missile Guidance Computer,M
Ship Scanner II,M
Small Stasis Drone Augmentor II,R
Standup L-Set Basic Small Ship Manufacturing Efficiency II,R
Domination 125mm Autocannon,H
Structure Scan Resolution Booster,M
Corpum B-Type Medium Armor Repairer,L
Corpus C-Type Armor Explosive Hardener,L
Dark Blood Warp Disruptor,M
Corpum A-Type Medium Energy Nosferatu,H
Shadow Serpentis Small Armor Repairer,L
Large Remote Capacitor Transmitter I,H
Prototype Cloaking Device I,H
Thon's Modified EM Ward Field,M
Corpii B-Type Thermal Plating,L
'Posse' Adaptive Invulnerability Field,M
Cormack's Modified Ion Blaster Cannon,H
Unit W-634's Modified Fighter Support Unit,H
Capital Energy Collision Accelerator I,R
720mm Prototype Siege Cannon,H
400mm Reinforced Titanium Plates I,L
Coreli A-Type EM Plating,L
Small Neutron Saturation Injector I,M
Mizuro's Modified Adaptive Nano Plating,L
Small Hull Repairer I,M
Quad 800mm Repeating Cannon II,H
Optical Compact Tracking Computer,M
Capital Cargohold Optimization II,R
'Basic' Magnetic Field Stabilizer,L
Salvager I,H
Medium Low Friction Nozzle Joints I,R
Imperial Navy Quad Beam Laser,H
Ammatar Navy Tachyon Beam Laser,H
Medium Drone Control Range Augmentor II,R
Federation Navy Armor Thermal Hardener,L
Imperial Navy Large Armor Repairer,L
1400mm 'Scout' Artillery I,H
True Sansha Medium Armor Repairer,L
Shadow Serpentis Heavy Neutron Blaster,H
Gatling Pulse Laser II,H
Imperial Navy Dual Heavy Beam Laser,H
Setele's Modified 350mm Railgun,H
Federation Navy Large Armor Repairer,L
1MN Monopropellant Enduring Afterburner,M
Micro Auxiliary Power Core II,L
Passive Targeting Array I,M
Modulated Deep Core Miner II,H
Weapon Disruption Burst Projector,H
Centum A-Type Energized Kinetic Membrane,L
Heavy Modulated Pulse Energy Beam I,H
Sealed Gravimetric Backup Cluster,L
Standup M-Set Drone and Fighter Manufacturing Material Efficiency I,R
Medium Diminishing Power System Drain I,H
Ahremen's Modified Cap Recharger,M
Cormack's Modified Adaptive Nano Plating,L
Extruded Compact Heat Sink,L
Compulsive Signal Distortion Amplifier I,L
Sensor Booster II,M
Khanid Navy Small EMP Smartbomb,H
Domination Capital Cap Battery,M
Standup M-Set Equipment Manufacturing Material Efficiency II,R
Dread Guristas EM Ward Field,M
Kaikka's Modified Thermal Dissipation Amplifier,M
Kaikka's Modified EM Ward Amplifier,M
Centum B-Type Energized Thermal Membrane,L
Mega Modulated Pulse Energy Beam I,H
OLD Tengu Electronics - Dissolution Sequencer,S
Setele's Modified Energized Adaptive Nano Membrane,L
Small I-b Polarized Structural Regenerator,M
Capacitor Power Relay I,L
Gist X-Type EM Ward Field,M
Capital Particle Dispersion Projector I,R
Domination Heavy Assault Missile Launcher,H
Dark Blood Quad Beam Laser,H
Centum B-Type Energized Kinetic Membrane,L
Coreli C-Type Adaptive Nano Plating,L
Medium Energy Locus Coordinator I,R
Corpus C-Type Heavy Energy Neutralizer,H
Alpha Reactor Shield Flux,L
Khanid Navy Co-Processor,L
Centii B-Type Small Remote Capacitor Transmitter,H
'Economist' Tracking Computer I,M
GLFF Containment Field,L
Dark Blood Dual Heavy Pulse Laser,H
Modal Enduring Ion Siege Blaster,H
Capital Signal Focusing Kit I,R
Unit P-343554's Modified Drone Link Augmentor,H
X-Large Ohm Capacitor Reserve I,M
Target Painter I,M
'High Noon' Thermal Dissipation Amplifier,M
Medium Particle Dispersion Projector II,R
Brynn's Modified EM Plating,L
Dark Blood Energized Kinetic Membrane,L
Capital Compact Pb-Acid Cap Battery,M
Republic Fleet EM Ward Amplifier,M
OLD Loki Propulsion - Fuel Catalyst,S
Standup XL-Set Laboratory Optimization II,R
Small Cap Battery I,M
Shadow Serpentis Neutron Blaster Cannon,H
Selynne's Modified Armor Explosive Hardener,L
Ahremen's Modified Large Armor Repairer,L
Large Remote Repair Augmentor II,R
350mm Railgun II,H
Medium Energy Locus Coordinator II,R
Cruise Missile Launcher II,H
Raysere's Modified Kinetic Plating,L
Domination Small Proton Smartbomb,H
Federation Navy Micro Plasma Smartbomb,H
Micro Auxiliary Power Core I,L
Thon's Modified Cloaking Device,H
Domination Armor EM Hardener,L
Large Rocket Fuel Cache Partition II,R
Fighter Support Unit I,H
Large Projectile Ambit Extension I,R
Shadow Serpentis Heavy Ion Blaster,H
Heavy Faint Scoped Warp Disruptor,M
Brynn's Modified Armor Thermal Hardener,L
Small Plasma Smartbomb II,H
Vizan's Modified Mega Pulse Laser,H
Shadow Serpentis Heavy Warp Scrambler,M
Small Remote Repair Augmentor I,R
Standup M-Set Ammunition Manufacturing Time Efficiency II,R
Conjunctive Ladar ECCM Scanning Array I,M
Brokara's Modified Energized Thermal Membrane,L
True Sansha Cap Recharger,M
Tengu Core - Obfuscation Manifold,S
TE-2100 Ample Light Missile Launcher,H
Small 'Settler' Shield Booster,M
Large 'Reprieve' Vestment Reconstructer I,L
Xenon Basic Drilling Beam,H
Missile Guidance Enhancer II,L
Dread Guristas 125mm Railgun,H
Medium Dynamic Fuel Valve I,R
Centus A-Type Large Armor Repairer,L
Ammatar Navy EM Plating,L
Large Anti-Thermal Pump II,R
True Sansha Armor Thermal Hardener,L
Republic Fleet Rocket Launcher,H
Neutron Blaster Cannon II,H
Standup M-Set ME Research Accelerator II,R
Large Hybrid Burst Aerator I,R
50MN Quad LiF Restrained Microwarpdrive,M
Corelum A-Type Energized Kinetic Membrane,L
Heavy Rudimentary Energy Destabilizer I,H
Corelum A-Type Energized Explosive Membrane,L
Kinetic Deflection Amplifier I,M
Centus B-Type Armor Thermal Hardener,L
Capital Remote Capacitor Transmitter II,H
Capital Drone Control Range Augmentor II,R
OLD Tengu Offensive - Covert Reconfiguration,S
'Limos' Rapid Heavy Missile Launcher I,H
Denny Enduring Omnidirectional Tracking Link,M
Small Hybrid Locus Coordinator I,R
Brynn's Modified Tracking Computer,M
Regulated Neutron Phase Cannon I,H
Corpus A-Type Armor EM Hardener,L
'Harness' Medium Capacitor Booster I,M
Estamel's Modified Shield Boost Amplifier,M
Raysere's Modified Energized EM Membrane,L
Tairei's Modified EM Plating,L
Type-E Power Core Modification: Reaction Control,L
Gistii A-Type Small Shield Booster,M
Pith B-Type Thermal Dissipation Field,M
Gist B-Type Shield Boost Amplifier,M
Small Hybrid Discharge Elutriation II,R
Ice Harvester II,H
Centum C-Type Medium Armor Repairer,L
Multispectral ECM II,M
Large Drone Control Range Augmentor I,R
Surrogate Magnetometric Reserve Array I,L
Standup M-Set Basic Capital Component Manufacturing Time Efficiency I,R
Brokara's Modified Capacitor Power Relay,L
Large Module, Consumable, Drone Research I,R
Dread Guristas Small Shield Booster,M
Medium Mercoxit Mining Crystal Optimization I,R
Imperial Navy Micro Capacitor Booster,M
220mm Vulcan AutoCannon I,H
Arbalest Compact Light Missile Launcher,H
Makur's Modified Warp Scrambler,M
Polarized Neutron Blaster Cannon,H
Medium Remote Repair Augmentor II,R
Energized Armor Layering Membrane I,L
125mm Railgun I,H
Shield Power Relay I,L
Missile Guidance System Rig I,R
Heavy Electron Blaster II,H
Tobias' Modified 100MN Afterburner,M
Quantum Co-Processor I,L
Cargo Scanner II,M
Ahremen's Modified Dual Heavy Pulse Laser,H
Caldari Navy 425mm Railgun,H
Hakim's Modified Heavy Warp Scrambler,M
Sisters Expanded Probe Launcher,H
Makur's Modified Warp Disruptor,M
Standup M-Set Drone and Fighter Manufacturing Time Efficiency I,R
Ahremen's Modified Adaptive Nano Plating,L
Standup L-Set Fighter Mission Control I,R
Basic EM Plating,L
Capital Algid Hybrid Administrations Unit II,R
Micro F-4a Ld-Sulfate Capacitor Charge Unit,M
Hakim's Modified Torpedo Launcher,H
Standup L-Set Bomb Aimer I,R
F-12 Enduring Tracking Computer,M
Dual Heavy Afocal Pulse Maser I,H
Small Auxiliary Nano Pump I,R
Medium Plasma Smartbomb II,H
Republic Fleet Large Proton Smartbomb,H
Regulated Ion Phase Cannon I,H
Cormack's Modified Energized Adaptive Nano Membrane,L
75mm Gatling Rail II,H
Supplemental Radar ECCM Scanning Array I,M
Tengu Core - Electronic Efficiency Gate,S
100mm Reinforced Nanofiber Plates I,L
Small Particle Dispersion Projector II,R
Large Stasis Drone Augmentor I,R
F-42 Reiterative Magnetometric Backup Sensors,L
Vizan's Modified Capacitor Power Relay,L
DDO Scoped Tracking Disruptor I,M
Large Drone Mining Augmentor II,R
Estamel's Modified Dual 250mm Railgun,H
Structure Remote Tracking Computer,M
Selynne's Modified Armor Kinetic Hardener,L
Warded Magnetometric Backup Cluster I,L
Micro Ld-Acid Capacitor Battery I,M
Capital F-RX Compact Capacitor Booster,M
220mm Medium 'Scout' Autocannon I,H
True Sansha Capital Energy Neutralizer,H
Medium Coaxial Compact Remote Armor Repairer,H
Corpum C-Type Energized Kinetic Membrane,L
Brokara's Modified EM Plating,L
Standup M-Set Basic Large Ship Manufacturing Material Efficiency II,R
Chelm's Modified Energized Adaptive Nano Membrane,L
Basic Energized EM Membrane,L
Large Bay Loading Accelerator I,R
Vizan's Modified Energized Kinetic Membrane,L
Stasis Webifier I,M
250mm Railgun II,H
Small Armor Repairer II,L
CONCORD Cruise Missile Launcher,H
Large I-ax Enduring Remote Armor Repairer,H
Caldari Navy Thermal Dissipation Amplifier,M
Small Memetic Algorithm Bank I,R
Marked Generator Refitting: Capacitor Flux,L
Medium Automated Structural Restoration,M
Industrial Capacitor Recharger,M
OLD Legion Defensive - Augmented Plating,S
Vepas's Modified Torpedo Launcher,H
'Judgment' Electromagnetic Doomsday,H
Core X-Type Armor Thermal Hardener,L
Large Projectile Burst Aerator II,R
Shadow Serpentis Energized Explosive Membrane,L
Modal Light Ion Particle Accelerator I,H
Tobias' Modified Gyrostabilizer,L
Khanid Navy Small Armor Repairer,L
Standup M-Set TE Research Accelerator II,R
Thukker Small Shield Extender,M
Dual 180mm Prototype Automatic Cannon,H
Medium Murky Remote Capacitor Transmitter,H
Capital Emission Scope Sharpener I,R
Republic Fleet Thermal Dissipation Amplifier,M
Pithi A-Type Small Remote Shield Booster,H
Shadow Serpentis 75mm Railgun,H
Medium Engine Thermal Shielding I,R
Loki Core - Augmented Nuclear Reactor,S
Corpus A-Type Armor Explosive Hardener,L
Vizan's Modified Large Armor Repairer,L
Imperial Navy Tachyon Beam Laser,H
Small Sentry Damage Augmentor I,R
Pithum B-Type EM Ward Amplifier,M
Dual 650mm Gallium Repeating Cannon,H
Khanid Navy Medium Armor Repairer,L
Domination Heavy Missile Launcher,H
Survey Scanner I,M
Federation Navy Energized Thermal Membrane,L
Limited Electron Blaster I,H
Small F-S9 Regolith Compact Shield Extender,M
Heavy Capacitor Booster II,M
Gallente Phenomena Generator,H
100MN Afterburner I,M
Data Analyzer I,M
Draclira's Modified Heavy Energy Nosferatu,H
'Arbalest' Cruise Launcher I,H
Ice Mining Laser II,H
Corpus A-Type Large Armor Repairer,L
Capital Anti-Explosive Screen Reinforcer II,R
Capital Hybrid Ambit Extension I,R
Medium Solace Scoped Remote Armor Repairer,H
Republic Fleet Kinetic Plating,L
Standup Ballistic Control System I,L
Standup Heavy Energy Neutralizer I,H
‘Iron Pike’ Kinetic Lance,H
EM Ward Field I,M
Brynn's Modified Energized Thermal Membrane,L
Medium Drone Research I,R
Ice Harvester Upgrade II,L
Federation Navy Omnidirectional Tracking Link,M
Unit F-435454's Modified Drone Navigation Computer,M
Medium 'Vehemence' Shockwave Charge,H
OLD Tengu Electronics - Emergent Locus Analyzer,S
Standup M-Set Ammunition Manufacturing Time Efficiency I,R
Centus B-Type Armor Kinetic Hardener,L
Medium Nano Armor Repair Unit I,L
Capital Processor Overclocking Unit I,R
Dark Blood Capital Flex Armor Hardener,L
Shadow Serpentis Remote Sensor Dampener,M
Dread Guristas EM Ward Amplifier,M
'Ingenii' Ice Harvester Upgrade,L
Large Warhead Calefaction Catalyst I,R
1200mm Heavy 'Jolt' Artillery I,H
Corpum A-Type Energized Adaptive Nano Membrane,L
Centum A-Type Medium Armor Repairer,L
Domination 1400mm Howitzer Artillery,H
Corpii B-Type Explosive Plating,L
Small Ancillary Current Router I,R
Standup L-Set Thukker Basic Capital Component Manufacturing Efficiency,R
Republic Fleet Armor Kinetic Hardener,L
'Mangonel' Heat Sink I,L
Medium Capacitor Control Circuit II,R
'Portcullis' Reactor Control Unit I,L
Brynn's Modified 425mm Railgun,H
Federation Navy Warp Disruptor,M
Heavy Stasis Grappler I,M
Heavy Warp Disruptor I,M
Medium Targeting Systems Stabilizer II,R
Medium Anti-Thermal Screen Reinforcer II,R
Capital Polycarbon Engine Housing II,R
425mm Medium 'Jolt' Autocannon I,H
Dual Giga Pulse Laser II,H
Gas Cloud Harvester I,H
Selynne's Modified Large EMP Smartbomb,H
Capital I-a Enduring Armor Repairer,L
OLD Tengu Propulsion - Interdiction Nullifier,S
Medium Cap Battery I,M
'Brotherhood' Small Remote Armor Repairer,H
Drone Link Augmentor I,H
Raysere's Modified Energized Kinetic Membrane,L
Thukker Large Shield Extender,M
Domination 50000MN Microwarpdrive,M
Standup XL-Set Equipment and Consumable Manufacturing Efficiency II,R
Scan Pinpointing Array II,M
Upgraded Energized Thermal Membrane I,L
Medium Anti-Kinetic Pump I,R
AE-K Compact Drone Damage Amplifier,L
Cormack's Modified Kinetic Plating,L
Corelum B-Type Energized Thermal Membrane,L
OLD Loki Offensive - Hardpoint Efficiency Configuration,S
True Sansha Medium EMP Smartbomb,H
Medium Powergrid Subroutine Maximizer II,R
Small Energy Neutralizer II,H
Tengu Core - Augmented Graviton Reactor,S
Chelm's Modified Dual Heavy Beam Laser,H
Radar ECM I,M
200mm Steel Plates I,L
Small Solace Scoped Remote Armor Repairer,H
OLD Proteus Defensive - Adaptive Augmenter,S
Large Auxiliary Thrusters I,R
'Malkuth' Cruise Launcher I,H
Dark Blood Focused Medium Beam Laser,H
Scout Scoped Quad 800mm Repeating Cannon,H
Standup L-Set EW Expert System II,R
Medium I-b Polarized Structural Regenerator,M
Dark Blood Heavy Energy Nosferatu,H
Large EW Drone Range Augmentor I,R
Estamel's Modified Rapid Heavy Missile Launcher,H
Corelum B-Type Energized EM Membrane,L
Large Targeting System Subcontroller II,R
Raysere's Modified Explosive Plating,L
Domination 5MN Microwarpdrive,M
Emergency RADAR Scanners,L
'Entrepreneur' Remote Sensor Booster,M
Old System Scanner,M
Small Anti-Explosive Pump I,R
Domination 425mm Autocannon,H
